,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,sku,product, Quantity ,,,,,,,
,,20021,SCALPVEN ," 195,000 ",,,,,,,
,,20022,18 CELLS TUBULAR AIR MATTRESS , 78 ,,,,,,,
,,20022,MATTRESS WGP012, 110 ,,,,,,,
,,20023,2 -WAY LATEX FOLEY BALLONE CATHETER 12 FR ," 4,500 ",,,,,,,
,,20024,2-WAY LATEX FOLEY BALLONE CATHETER 14 FR, 500 ,,,,,,,
,,20025,2-WAY LATEX FOLEY BALLONE CATHETER 16FR, 500 ,,,,,,,
,,20026,2-WAY LATEX FOLEY BALLONE CATHETER 20FR, 50 ,,,,,,,
,,20027,2-WAY LATEX FOLEY BALLONE CATHETER 22FR, 50 ,,,,,,,
,,20028,AIR WAY GUEDEL 3FR," 2,250 ",,,,,,,
,,20029,AIR WAY GUEDEL 4FR," 2,250 ",,,,,,,
,,20030,AIR WAY GUEDEL 5FR," 2,400 ",,,,,,,
,,20031,AIR WAY GUEDEL 6FR," 2,200 ",,,,,,,
,,20032,SYRINGE 1ML," 74,300 ",,,,,,,
,,20033,INSULIN SYRINGE 1ML," 42,000 ",,,,,,,
,,20034,SYRINGE 5ML," 40,000 ",,,,,,,
,,20035,Isolation GOWN SINGLE USE," 3,200 ",,,,,,,
,,20036,NEEDLE 22G ," 10,000 ",,,,,,,
,,20037,NEEDLE 23G," 20,000 ",,,,,,,
,,20038,NEEDLE 19FR," 4,500 ",,,,,,,
,,20039,NEEDLE 20FR," 4,500 ",,,,,,,
,,20040,NEEDLE 21FR," 4,000 ",,,,,,,
,,20041,NEEDLE 22FR," 4,500 ",,,,,,,
,,20042,NEEDLE 23FR," 4,500 ",,,,,,,
,,20043,TRACHOSTOMY TUBE 3.0 UNCUFFED, 100 ,,,,,,,
,,20044,TRACHOSTOMY TUBE 3.5 UNCUFFED, 100 ,,,,,,,
,,20045,TRACHOSTOMY TUBE 4.0 UNCUFFED, 100 ,,,,,,,
,,20046,TRACHOSTOMY TUBE 4.5 UNCUFFED, 100 ,,,,,,,
,,20047,TRACHOSTOMY TUBE 5.0 UNCUFFED, 100 ,,,,,,,
,,20048,TRACHOSTOMY TUBE 5.5 UNCUFFED, 100 ,,,,,,,
,,20049,TRACHOSTOMY TUBE 6.0 UNCUFFED, 200 ,,,,,,,
,,20050,TRACHOSTOMY TUBE 5.0 CUFFED, 100 ,,,,,,,
,,20051,TRACHOSTOMY TUBE 5.5 CUFFED , 200 ,,,,,,,
,,20052,TRACHOSTOMY TUBE 6.0 CUFFED, 200 ,,,,,,,
,,20053,TRACHOSTOMY TUBE 6.5 CUFFED, 200 ,,,,,,,
,,20054,TRACHOSTOMY TUBE 7.0 CUFFED, 200 ,,,,,,,
,,20055,MEDICAL PROTECTIVE GOWN," 5,400 ",,,,,,,
,,20056, MANUAL RESUSCITATOR (SEBS-ADULT), 21 ,,,,,,,
,,20057,MANUAL RESUSCITATOR (PVC-ADULT), 20 ,,,,,,,
,,20058,MANUAL RESUSCITATOR (SILICON-CHILD)          , 10 ,,,,,,,
,,20059,MANUAL RESUSCITATOR (PVC-CHILD), 10 ,,,,,,,
,,20060, MANUAL RESUSCITATOR (SILICON-ADULT), 20 ,,,,,,,
,,20061, MANUAL RESUSCITATOR (SEBS-CHILD), 10 ,,,,,,,
,,20062,TUBULAR AIR MATTRESS, 110 ,,,,,,,
,,20063,BUBBLE MATTRESS, 168 ,,,,,,,
,,20064,DISPOSABLE URINER BAG 1000ml," 10,000 ",,,,,,,
,,20065,STETHOSCOPE," 1,369 ",,,,,,,
,,20066,LARYNGEAL MASK AIRWAY, 87 ,,,,,,,
,,20067,STERILE URETHRAL CATHETERS NELATON PVC," 1,600 ",,,,,,,
,,20068,plaster bandage 20cm," 1,020 ",,,,,,,
,,20069,plaster bandage 7.5cm, 480 ,,,,,,,
,,20070,plaster bandage 15cm, 870 ,,,,,,,
,,20071,plaster bandage 5cm, 758 ,,,,,,,
,,20072,plaster bandage 10cm, 720 ,,,,,,,
,,20073,STERILE INFUSION WITH AIR INLET," 87,000 ",,,,,,,
,,20074,STERILE INFUSION WITH Y-SITE," 89,500 ",,,,,,,
,,20075, STERILE TRANSFUSION SET," 60,000 ",,,,,,,
,,20076,PROTECTIVE GOGGLES," 3,000 ",,,,,,,
,,20077,FACE SHIELD," 3,260 ",,,,,,,
,,20078,LATEX T-DRAINAGE TUBE 24FR, 980 ,,,,,,,
,,20079,LATEX T-DRAINAGE TUBE 22FR," 1,000 ",,,,,,,
,,20080,LATEX T-DRAINAGE TUBE 20FR," 1,000 ",,,,,,,
,,20081,LATEX T-DRAINAGE TUBE 18FR," 1,000 ",,,,,,,
,,20082,LATEX T-DRAINAGE TUBE 16FR," 1,000 ",,,,,,,
,,20083,LATEX T-DRAINAGE TUBE 14FR," 1,200 ",,,,,,,
,,20084,LATEX T-DRAINAGE TUBE 12FR," 1,200 ",,,,,,,
,,20085,LATEX T-DRAINAGE TUBE 10FR," 1,200 ",,,,,,,
,,20086,LATEX T-DRAINAGE TUBE 8FR," 1,200 ",,,,,,,
,,20087,FORDABLE STRETCHER," 2,116 ",,,,,,,
,,20088,LATEX SURGICAL GLOVE 8.5," 1,000 ",,,,,,,
,,20089,LATEX SURGICAL GLOVE 8.0," 3,300 ",,,,,,,
,,20090,ALL SILICON FOLEY CATHETER 24FR, 500 ,,,,,,,
,,20091,ALL SILICON FOLEY CATHETER 22FR," 1,000 ",,,,,,,
,,20092,ALL SILICON FOLEY CATHETER 10FR, 500 ,,,,,,,
,,20093,ALL SILICON FOLEY CATHETER 8FR, 500 ,,,,,,,
,,20094,ALL SILICON FOLEY CATHETER 6FR, 500 ,,,,,,,
,,20095,VACUUM MATRESS STRETCHER, 42 ,,,,,,,
,,20096,REINFORCED UNCUFFED 10MM, 480 ,,,,,,,
,,20097,REINFORCED UNCUFFED 9.5MM, 500 ,,,,,,,
,,20098,REINFORCED UNCUFFED 9.0MM, 296 ,,,,,,,
,,20099,REINFORCED UNCUFFED 8.5MM, 500 ,,,,,,,
,,20100,REINFORCED UNCUFFED 8.0MM, 300 ,,,,,,,
,,20101,REINFORCED UNCUFFED 7.0MM, 280 ,,,,,,,
,,20102,REINFORCED UNCUFFED 6.5MM, 500 ,,,,,,,
,,20103,REINFORCED UNCUFFED 6.0MM, 500 ,,,,,,,
,,20104,REINFORCED UNCUFFED 5.5MM, 300 ,,,,,,,
,,20105,REINFORCED UNCUFFED 5.0MM, 500 ,,,,,,,
,,20106,REINFORCED UNCUFFED 4.5MM, 300 ,,,,,,,
,,20107,REINFORCED UNCUFFED 4.0MM, 200 ,,,,,,,
,,20108,REINFORCED UNCUFFED 3.5MM, 400 ,,,,,,,
,,20109,REINFORCED UNCUFFED 3.0MM, 400 ,,,,,,,
,,20110,REINFORCED UNCUFFED 2.5MM, 400 ,,,,,,,
,,20111,ENDOTRACHEAL NASAL CUFFED 10MM, 300 ,,,,,,,
,,20112,ENDOTRACHEAL NASAL CUFFED 9.5MM, 300 ,,,,,,,
,,20113,ENDOTRACHEAL NASAL CUFFED 9.0MM, 400 ,,,,,,,
,,20114,ENDOTRACHEAL NASAL CUFFED 8.5MM, 100 ,,,,,,,
,,20115,ENDOTRACHEAL NASAL CUFFED 8.0MM, 500 ,,,,,,,
,,20116,ENDOTRACHEAL NASAL CUFFED 7.5MM, 300 ,,,,,,,
,,20117,ENDOTRACHEAL NASAL CUFFED 7.0MM, 320 ,,,,,,,
,,20118,ENDOTRACHEAL NASAL CUFFED 6.5MM, 500 ,,,,,,,
,,20119,ENDOTRACHEAL NASAL CUFFED 6.0MM, 300 ,,,,,,,
,,20120,ENDOTRACHEAL NASAL CUFFED 5.5MM, 100 ,,,,,,,
,,20121,ENDOTRACHEAL NASAL CUFFED 5.0MM, 300 ,,,,,,,
,,20122,ENDOTRACHEAL NASAL CUFFED 4.5MM, 300 ,,,,,,,
,,20123,ENDOTRACHEAL NASAL CUFFED 4.0MM, 480 ,,,,,,,
,,20124,ENDOTRACHAEL NASAL CUFFED 3.5MM, 440 ,,,,,,,
,,20125,ENDOTRACHEAL NASAL UNCUFFED 3.0MM, 460 ,,,,,,,
,,20126,MEDICAL BUCKEL TOURNIQUET," 9,850 ",,,,,,,
,,20127,ENDOTRACHEAL ORAL UNCUFFED 10MM, 300 ,,,,,,,
,,20128,ENDOTRACHEAL ORAL UNCUFFED 9.5MM, 300 ,,,,,,,
,,20129,ENDOTRACHEAL ORAL UNCUFFED 9.0MM, 500 ,,,,,,,
,,20130,ENDOTRACHEAL ORAL UNCUFFED 8.0MM, 500 ,,,,,,,
,,20131,ENDOTRACHEAL ORAL UNCUFFED 7.5MM, 500 ,,,,,,,
,,20132,ENDOTRACHEAL ORAL UNCUFFED 7.0MM, 500 ,,,,,,,
,,20133,ENDOTRACHEAL ORAL UNCUFFED 6.5MM, 500 ,,,,,,,
,,20134,ENDOTRACHEAL ORAL UNCUFFED 6.0MM, 300 ,,,,,,,
,,20135,ENDOTRACHEAL ORAL UNCUFFED 5.5MM, 500 ,,,,,,,
,,20136,ENDOTRACHEAL ORAL UNCUFFED 5.0MM, 500 ,,,,,,,
,,20137,ENDOTRACHEAL ORAL UNCUFFED 4.5MM, 300 ,,,,,,,
